name,parent,clusterid,label,compute_pos,svg_pos,model_level,percentage,mi,children
Z23,Z32,4,"landscape,height,landscapes,mountain,width,heights,valley","4005.9,-2061.35","4016.2,-2058.4",2,0.07,"Z32,0.0790853534083772","Z16,Z17"
Z22,Z31,4,"buildings,plant,urban,plants","4152.3,-2584.55","4177.8,-2474.6",2,0.02,"Z31,0.07896159302313696","Z14,Z15"
Z21,Z31,4,"walk,walking,plans,landmarks,planned,landmark,architectural","3916.7,-2232.63333333","3943.3,-2272.1",2,0.03,"Z31,0.08333180443634199","Z12,Z13,Z11"
Z29,Z34,4,"national,contract,gov,office,laboratory,foundation","4095.4,-2549.25","4178.7,-2554",2,0.20,"Z34,0.09878149576025971","Z125,Z124"
Z28,Z34,4,"professor,ph,interests,staff,acm,siggraph,technical","4533.275,-2645.85","4426,-2574.2",2,0.02,"Z34,0.015572965425369817","Z121,Z120,Z123,Z122"
Z1228,Z286,3,"force,brute","3105.9,-3309.2","3105.9,-3309.2",1,0.34,"Z286,0.4673525135887998",
Z1229,Z286,3,"forces,spring,stiffness","3255.7,-3279.7","3255.7,-3279.7",1,0.11,"Z286,0.14827898355510877",
Z1220,Z282,3,"readable,readability","2949.7,-3012.3","2949.7,-3012.3",1,0.07,"Z282,0.11334030575999471",
Z1221,Z283,3,"layout,layouts","3165.8,-3099.7","3165.8,-3099.7",1,0.14,"Z283,0.3519744574274951",
Z1222,Z283,3,"lay,laid","3245,-3147.7","3245,-3147.7",1,0.21,"Z283,0.2982903250581567",
Z1223,Z284,3,"positioned,positioning","3169.1,-3143.7","3169.1,-3143.7",1,0.20,"Z284,0.1371494198655706",
Z1224,Z284,3,"placing,placement","3026.5,-3281.8","3026.5,-3281.8",1,0.23,"Z284,0.08650348355743591",
Z1225,Z284,3,"positions,slightly,positional,slowly","2962.5,-3114.3","2962.5,-3114.3",1,0.40,"Z284,0.06640591290544724",
Z1226,Z285,3,"ordering,ordered,reordering","3102.6,-3040.8","3102.6,-3040.8",1,0.21,"Z285,0.19567315843581845",
Z1227,Z285,3,"arrangement,arrangements,arranged","3029.7,-2996.8","3029.7,-2996.8",1,0.13,"Z285,0.03196393830007474",
Z1822,Z2302,6,"transition,transitions","2753.8,-1619","2753.8,-1619",1,0.24,"Z2302,0.013010338628941347",
Z1823,Z2302,6,"seamless,seamlessly","2718.4,-1678.4","2718.4,-1678.4",1,0.07,"Z2302,0.007176890156180709",
Z1820,Z2302,6,"necessarily,possibly","2806,-1668.8","2806,-1668.8",1,0.23,"Z2302,0.006144416860224492",
Z1821,Z2302,6,"portion,portions","2778.7,-1821.6","2778.7,-1821.6",1,0.31,"Z2302,6.516798376970875E-4",
Z1826,Z2303,6,"actions,action","2706,-1777.6","2706,-1777.6",1,0.13,"Z2303,0.23153013023021468",
Z1795,Z2297,6,"human,humans,psychology","2861.4,-1440.8","2861.4,-1440.8",1,0.43,"Z2297,0.13724149304835764",
Z1796,Z2297,6,"mental,mentally","2827.3,-1491.3","2827.3,-1491.3",1,0.15,"Z2297,0.10897831263735505",
Z1825,Z2303,6,"alter,altered,identifies","2700.4,-1822.5","2700.4,-1822.5",1,0.19,"Z2303,0.12208421350809756",
Z1798,Z2298,6,"taxonomy,taxonomies","2960.1,-1661.5","2960.1,-1661.5",1,0.18,"Z2298,0.3393160282152501",
Z1799,Z2299,6,"recognize,recognized","2998.8,-1493","2998.8,-1493",1,0.20,"Z2299,0.14805317621948091",
Z1828,Z2304,6,"aid,continue,assist,proceeds,continues","3284.1,-1496","3284.1,-1496",1,0.31,"Z2304,0.38499417796654056",
Z1829,Z2304,6,"preliminary,friendly,archaeological,swap,restoration,pq,vr","3185.7,-1482","3185.7,-1482",1,0.36,"Z2304,0.3573888269211189",
Z11279,Z2455,9,"neighbor,neighbors,nearest","2349.9,-1249","2349.9,-1249",1,0.13,"Z2455,0.11077745439499978",
Z11278,Z2454,0,"ct,mri,tomography","1420,-1600.1","1420,-1600.1",1,0.13,"Z2454,0.3636626019139336",
Z1316,Z2120,2,"direct,indirect,full,modern","2625.2,-903.34","2625.2,-903.34",1,0.49,"Z2120,0.05709339045094514",
Z1317,Z2121,2,"variant,variants","2875.7,-700.05","2875.7,-700.05",1,0.14,"Z2121,0.031747695905729935",
Z1310,Z2118,2,"depicted,depict,depicts,depicting","2518.9,-994.9","2518.9,-994.9",1,0.21,"Z2118,0.3593190278291409",
Z1311,Z2118,2,"depiction,depictions","2577.8,-1109","2577.8,-1109",1,0.07,"Z2118,0.06570829552235471",
Z1312,Z2119,2,"detected,detecting,detects","2487.6,-855.44","2487.6,-855.44",1,0.24,"Z2119,0.37175844983066586",
Z1313,Z2119,2,"detection,detect","2471.5,-901.45","2471.5,-901.45",1,0.19,"Z2119,0.47006164811221907",
Z11271,Z2452,0,"segmentation,segmented","1379.7,-1556.1","1379.7,-1556.1",1,0.06,"Z2452,0.1811226258678211",
Z11270,Z2451,0,"mask,masks,masking","1331.5,-1600.1","1331.5,-1600.1",1,0.10,"Z2451,0.027294440269698822",
